Amount of Vertices: 726
x: -5.0000, y: -5.0000, z: 20.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -5.0000, y: -1.0000, z: 24.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -5.0000, y: -1.0000, z: 24.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: -1.0000, z: 15.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: -2.0000, z: 14.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -5.0000, y: -1.0000, z: 24.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: -1.0000, z: 15.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -5.0000, y: 0.0000, z: 25.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -5.0000, y: 0.0000, z: 25.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: 0.0000, z: 16.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: -1.0000, z: 15.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -5.0000, y: 0.0000, z: 25.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: 0.0000, z: 16.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -5.0000, y: 1.0000, z: 26.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -5.0000, y: 1.0000, z: 26.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: 1.0000, z: 17.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: 0.0000, z: 16.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -5.0000, y: 1.0000, z: 26.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: 1.0000, z: 17.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -5.0000, y: 2.0000, z: 27.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -5.0000, y: 2.0000, z: 27.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: 2.0000, z: 18.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: 1.0000, z: 17.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -5.0000, y: 2.0000, z: 27.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: 2.0000, z: 18.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -5.0000, y: 3.0000, z: 28.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -5.0000, y: 3.0000, z: 28.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: 3.0000, z: 19.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: 2.0000, z: 18.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -5.0000, y: 3.0000, z: 28.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: 3.0000, z: 19.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -5.0000, y: 4.0000, z: 29.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -5.0000, y: 4.0000, z: 29.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: 4.0000, z: 20.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: 3.0000, z: 19.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -5.0000, y: 4.0000, z: 29.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: 4.0000, z: 20.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -5.0000, y: 5.0000, z: 30.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -5.0000, y: 5.0000, z: 30.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: 5.0000, z: 21.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: 4.0000, z: 20.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -5.0000, y: 5.0000, z: 30.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: 5.0000, z: 21.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -5.0000, y: 6.0000, z: 31.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -5.0000, y: 6.0000, z: 31.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: 6.0000, z: 22.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: 5.0000, z: 21.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: -5.0000, z: 11.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: -5.0000, z: 4.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: -4.0000, z: 12.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: -4.0000, z: 12.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: -4.0000, z: 5.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: -5.0000, z: 4.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: -4.0000, z: 12.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: -4.0000, z: 5.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: -3.0000, z: 13.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: -3.0000, z: 13.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: -3.0000, z: 6.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: -4.0000, z: 5.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: -3.0000, z: 13.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: -3.0000, z: 6.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: -2.0000, z: 14.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: -2.0000, z: 14.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: -2.0000, z: 7.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: -3.0000, z: 6.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: -2.0000, z: 14.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: -2.0000, z: 7.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: -1.0000, z: 15.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: -1.0000, z: 15.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: -1.0000, z: 8.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: -2.0000, z: 7.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: -1.0000, z: 15.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: -1.0000, z: 8.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: 0.0000, z: 16.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: 0.0000, z: 16.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: 0.0000, z: 9.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: -1.0000, z: 8.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: 0.0000, z: 16.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: 0.0000, z: 9.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: 1.0000, z: 17.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: 1.0000, z: 17.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: 1.0000, z: 10.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: 0.0000, z: 9.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: 1.0000, z: 17.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: 1.0000, z: 10.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: 2.0000, z: 18.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: 2.0000, z: 18.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: 2.0000, z: 11.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: 1.0000, z: 10.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: 2.0000, z: 18.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: 2.0000, z: 11.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: 3.0000, z: 19.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: 3.0000, z: 19.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: 3.0000, z: 12.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: 2.0000, z: 11.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: 3.0000, z: 19.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: 3.0000, z: 12.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: 4.0000, z: 20.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: 4.0000, z: 20.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: 4.0000, z: 13.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: 3.0000, z: 12.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: 4.0000, z: 20.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: 4.0000, z: 13.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: 5.0000, z: 21.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: 5.0000, z: 21.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: 5.0000, z: 14.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: 4.0000, z: 13.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: 5.0000, z: 21.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: 5.0000, z: 14.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: 6.0000, z: 22.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: 6.0000, z: 22.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: 6.0000, z: 15.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: 5.0000, z: 14.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: -5.0000, z: 4.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -2.0000, y: -5.0000, z: -1.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: -4.0000, z: 5.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: -4.0000, z: 5.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -2.0000, y: -4.0000, z: 0.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -2.0000, y: -5.0000, z: -1.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: -4.0000, z: 5.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -2.0000, y: -4.0000, z: 0.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: -3.0000, z: 6.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: -3.0000, z: 6.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -2.0000, y: -3.0000, z: 1.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -2.0000, y: -4.0000, z: 0.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: -3.0000, z: 6.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -2.0000, y: -3.0000, z: 1.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: -2.0000, z: 7.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: -2.0000, z: 7.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -2.0000, y: -2.0000, z: 2.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -2.0000, y: -3.0000, z: 1.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: -2.0000, z: 7.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -2.0000, y: -2.0000, z: 2.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: -1.0000, z: 8.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: -1.0000, z: 8.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -2.0000, y: -1.0000, z: 3.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -2.0000, y: -2.0000, z: 2.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: -1.0000, z: 8.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -2.0000, y: -1.0000, z: 3.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: 0.0000, z: 9.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: 0.0000, z: 9.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -2.0000, y: 0.0000, z: 4.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -2.0000, y: -1.0000, z: 3.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: 0.0000, z: 9.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -2.0000, y: 0.0000, z: 4.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: 1.0000, z: 10.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: 1.0000, z: 10.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -2.0000, y: 1.0000, z: 5.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -2.0000, y: 0.0000, z: 4.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: 1.0000, z: 10.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -2.0000, y: 1.0000, z: 5.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: 2.0000, z: 11.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: 2.0000, z: 11.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -2.0000, y: 2.0000, z: 6.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -2.0000, y: 1.0000, z: 5.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: 2.0000, z: 11.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -2.0000, y: 2.0000, z: 6.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: 3.0000, z: 12.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: 3.0000, z: 12.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -2.0000, y: 3.0000, z: 7.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -2.0000, y: 2.0000, z: 6.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: 3.0000, z: 12.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -2.0000, y: 3.0000, z: 7.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: 4.0000, z: 13.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: 4.0000, z: 13.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -2.0000, y: 4.0000, z: 8.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -2.0000, y: 3.0000, z: 7.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: 4.0000, z: 13.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -2.0000, y: 4.0000, z: 8.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: 5.0000, z: 14.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: 5.0000, z: 14.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -2.0000, y: 5.0000, z: 9.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -2.0000, y: 4.0000, z: 8.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: 5.0000, z: 14.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -2.0000, y: 5.0000, z: 9.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: 6.0000, z: 15.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -3.0000, y: 6.0000, z: 15.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -2.0000, y: 6.0000, z: 10.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -2.0000, y: 5.0000, z: 9.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -2.0000, y: -5.0000, z: -1.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -1.0000, y: -5.0000, z: -4.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -2.0000, y: -4.0000, z: 0.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -2.0000, y: -4.0000, z: 0.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -1.0000, y: -4.0000, z: -3.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -1.0000, y: -5.0000, z: -4.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -2.0000, y: -4.0000, z: 0.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -1.0000, y: -4.0000, z: -3.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -2.0000, y: -3.0000, z: 1.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -2.0000, y: -3.0000, z: 1.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -1.0000, y: -3.0000, z: -2.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -1.0000, y: -4.0000, z: -3.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -2.0000, y: -3.0000, z: 1.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -1.0000, y: -3.0000, z: -2.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -2.0000, y: -2.0000, z: 2.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -2.0000, y: -2.0000, z: 2.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
